operator_type,input_size,representation,build_time_ms,memory_mb,query_time_ms
filter,1000,NoProv,0.758883,0.000000,0.000000
filter,1000,IndexedTensorArray,0.871758,0.007477,0.087542
filter,1000,IndexedTensor,0.775162,0.007477,0.077737
filter,1000,COOTensor,0.902017,0.007477,0.067996
filter,1000,ProvenanceGraph,0.777979,0.007477,0.059887
filter,1000,RelationalProvenance,0.748338,0.007477,0.077541
filter,10000,NoProv,0.734750,0.000000,0.000000
filter,10000,IndexedTensorArray,1.865188,0.074768,0.074213
filter,10000,IndexedTensor,1.947429,0.074768,0.068858
filter,10000,COOTensor,1.818450,0.074768,0.070654
filter,10000,ProvenanceGraph,1.744071,0.074768,0.066179
filter,10000,RelationalProvenance,1.656896,0.074768,0.056242
filter,50000,NoProv,1.170387,0.000000,0.000000
filter,50000,IndexedTensorArray,6.226996,0.373840,0.075329
filter,50000,IndexedTensor,6.032096,0.373840,0.076708
filter,50000,COOTensor,7.427092,0.373840,0.078833
filter,50000,ProvenanceGraph,5.984850,0.373840,0.061596
filter,50000,RelationalProvenance,5.953121,0.373840,0.066133
filter,100000,NoProv,1.382658,0.000000,0.000000
filter,100000,IndexedTensorArray,11.515737,0.747681,0.052292
filter,100000,IndexedTensor,11.504750,0.747681,0.061641
filter,100000,COOTensor,11.019079,0.747681,0.080929
filter,100000,ProvenanceGraph,12.395954,0.747681,0.094808
filter,100000,RelationalProvenance,12.751159,0.747681,0.071096
dropna,1000,NoProv,1.224512,0.000000,0.000000
dropna,1000,IndexedTensorArray,1.606304,0.000763,0.113179
dropna,1000,IndexedTensor,1.306296,0.000763,0.148492
dropna,1000,COOTensor,1.525571,0.000763,0.117792
dropna,1000,ProvenanceGraph,1.165683,0.000763,0.072079
dropna,1000,RelationalProvenance,1.396113,0.000763,0.091525
dropna,10000,NoProv,1.313883,0.000000,0.000000
dropna,10000,IndexedTensorArray,2.707508,0.007629,0.113162
dropna,10000,IndexedTensor,3.540179,0.007629,0.068250
dropna,10000,COOTensor,2.819192,0.007629,0.077221
dropna,10000,ProvenanceGraph,3.085754,0.007629,0.084808
dropna,10000,RelationalProvenance,2.514892,0.007629,0.074779
dropna,50000,NoProv,2.051375,0.000000,0.000000
dropna,50000,IndexedTensorArray,7.816088,0.038147,0.061263
dropna,50000,IndexedTensor,8.079583,0.038147,0.057971
dropna,50000,COOTensor,8.454642,0.038147,0.081675
