pipeline,representation,query_size,n_ops,final_rows,build_ms,memory_mb,forward_ms,backward_ms,q3_ms,q9_ms,q10_ms
census,IndexedTensorArray,1,4,3500,35.267996,5.795767,0.244354,0.062196,0.250658,0.008592,0.249075
census,IndexedTensorArray,10,4,3500,35.267996,5.795767,0.300792,0.059842,0.303179,0.007733,0.298800
census,IndexedTensorArray,100,4,3500,35.267996,5.795767,0.315275,0.098458,0.338708,0.009542,0.360087
census,IndexedTensorArray,1000,4,3500,35.267996,5.795767,0.498563,0.490808,0.663442,0.009737,0.677471
retail,IndexedTensorArray,1,7,10000,132.975421,20.124288,0.177250,0.074504,0.168571,0.016763,0.176325
retail,IndexedTensorArray,10,7,10000,132.975421,20.124288,0.334021,0.122083,0.308488,0.020608,0.244721
retail,IndexedTensorArray,100,7,10000,132.975421,20.124288,0.358337,0.207484,0.547683,0.037883,0.382471
retail,IndexedTensorArray,1000,7,10000,132.975421,20.124288,0.854329,0.834954,1.607696,0.030746,1.302104
healthcare,IndexedTensorArray,1,8,6750,109.146775,14.531755,0.273671,0.065104,0.284675,0.014650,0.274746
healthcare,IndexedTensorArray,10,8,6750,109.146775,14.531755,0.340312,0.105725,0.416571,0.017988,0.375262
healthcare,IndexedTensorArray,100,8,6750,109.146775,14.531755,0.499988,0.148637,0.678388,0.020458,0.987683
healthcare,IndexedTensorArray,1000,8,6750,109.146775,14.531755,2.538604,0.801325,3.452575,0.018033,3.825967
fraud,IndexedTensorArray,1,8,2480,150.521179,20.200466,0.210846,0.113142,0.228517,0.025009,0.219617
fraud,IndexedTensorArray,10,8,2480,150.521179,20.200466,0.210933,0.124092,0.173975,0.014554,0.207984
fraud,IndexedTensorArray,100,8,2480,150.521179,20.200466,0.261600,0.160967,0.255504,0.016079,0.282104
fraud,IndexedTensorArray,1000,8,2480,150.521179,20.200466,0.764725,1.096891,0.943521,0.020408,0.935963
education,IndexedTensorArray,1,9,5136,77.701433,10.343239,0.316571,0.103021,0.462613,0.021296,0.288271
education,IndexedTensorArray,10,9,5136,77.701433,10.343239,0.385950,0.119725,0.648558,0.020829,0.440358
education,IndexedTensorArray,100,9,5136,77.701433,10.343239,0.719479,0.136021,0.854621,0.017188,1.608492
education,IndexedTensorArray,1000,9,5136,77.701433,10.343239,5.201658,0.757513,7.635962,0.020854,8.180929
insurance,IndexedTensorArray,1,10,3870,111.530592,14.627993,0.391783,0.109533,0.744404,0.022983,0.466754
insurance,IndexedTensorArray,10,10,3870,111.530592,14.627993,0.539142,0.101300,0.435533,0.020025,0.517613
insurance,IndexedTensorArray,100,10,3870,111.530592,14.627993,0.647404,0.213179,1.011342,0.021396,0.771046
insurance,IndexedTensorArray,1000,10,3870,111.530592,14.627993,1.969579,0.979983,2.144292,0.020254,2.622404
iot,IndexedTensorArray,1,12,3822,227.313046,31.503078,0.223550,0.083454,0.265371,0.020742,0.260279
iot,IndexedTensorArray,10,12,3822,227.313046,31.503078,0.202221,0.093854,0.259783,0.018883,0.228891
iot,IndexedTensorArray,100,12,3822,227.313046,31.503078,0.275008,0.238942,0.336158,0.024067,0.369613
iot,IndexedTensorArray,1000,12,3822,227.313046,31.503078,1.101208,1.071263,1.000625,0.023058,1.001400
deep_hr,IndexedTensorArray,1,14,1485,71.576433,9.416912,0.243083,0.083167,0.238092,0.019083,0.246133
deep_hr,IndexedTensorArray,10,14,1485,71.576433,9.416912,0.198171,0.091638,0.229729,0.016050,0.320646
deep_hr,IndexedTensorArray,100,14,1485,71.576433,9.416912,0.322483,0.191312,0.459675,0.018463,0.411254
deep_hr,IndexedTensorArray,1000,14,1485,71.576433,9.416912,0.915883,1.212246,0.962692,0.018992,1.095671
deep_logistics,IndexedTensorArray,1,18,2682,209.066050,31.312478,0.329725,0.104317,0.407767,0.040517,0.479971
deep_logistics,IndexedTensorArray,10,18,2682,209.066050,31.312478,0.373458,0.097433,0.401591,0.028688,0.452175
deep_logistics,IndexedTensorArray,100,18,2682,209.066050,31.312478,0.624925,0.206767,0.669150,0.021692,0.718379
deep_logistics,IndexedTensorArray,1000,18,2682,209.066050,31.312478,3.406967,1.092125,3.704513,0.018704,4.069929
social,IndexedTensorArray,1,9,7725,128.871100,18.614202,0.239217,0.095475,0.248038,0.021196,0.265942
social,IndexedTensorArray,10,9,7725,128.871100,18.614202,0.229975,0.081029,0.226063,0.030467,0.277000
social,IndexedTensorArray,100,9,7725,128.871100,18.614202,0.304979,0.160354,0.335829,0.033192,0.344046
social,IndexedTensorArray,1000,9,7725,128.871100,18.614202,0.919763,0.733192,1.131438,0.041083,1.372100
census,IndexedTensor,1,4,3500,34.367921,9.009329,0.292062,0.095517,0.357692,0.016083,0.279642
census,IndexedTensor,10,4,3500,34.367921,9.009329,0.336908,0.074063,0.387496,0.017342,0.397325
census,IndexedTensor,100,4,3500,34.367921,9.009329,0.363038,0.102987,0.392742,0.014575,0.410663
census,IndexedTensor,1000,4,3500,34.367921,9.009329,0.502367,0.462641,0.687538,0.012017,0.653237
retail,IndexedTensor,1,7,10000,129.349317,36.189508,0.204804,0.098204,0.206104,0.016846,0.235171
retail,IndexedTensor,10,7,10000,129.349317,36.189508,0.295479,0.121283,0.244363,0.023125,0.714217
retail,IndexedTensor,100,7,10000,129.349317,36.189508,0.471400,0.192800,0.329313,0.026883,0.501471
retail,IndexedTensor,1000,7,10000,129.349317,36.189508,0.782012,0.762238,1.009587,0.023121,1.184917
healthcare,IndexedTensor,1,8,6750,91.413387,25.993805,0.360758,0.115583,0.418087,0.028150,0.346229
healthcare,IndexedTensor,10,8,6750,91.413387,25.993805,0.317750,0.098467,0.448391,0.024129,0.429175
healthcare,IndexedTensor,100,8,6750,91.413387,25.993805,0.525675,0.192750,0.661292,0.020625,0.781825
healthcare,IndexedTensor,1000,8,6750,91.413387,25.993805,2.103129,0.749571,3.465242,0.020246,3.375258
fraud,IndexedTensor,1,8,2480,123.308862,35.608732,0.226021,0.117704,0.371808,0.021429,0.229242
fraud,IndexedTensor,10,8,2480,123.308862,35.608732,0.221462,0.128296,0.250642,0.030596,0.243092
fraud,IndexedTensor,100,8,2480,123.308862,35.608732,0.340200,0.290521,0.341467,0.021421,0.342992
